LCT_Connections,Category,Type,Import,Export,LicenceArea,FunctionalLocation,SecondarySubstationAlias,Status,Primary_FunctionalLocation,PrimaryFeeder,Latitude,Longitude,geopoint,LocalAuthority
9,Generation,Solar PV,0,26,Eastern Power Networks (EPN),EPN-S0000003U2266,3U2266,Connected,EPN-S0000000H3036,J37 EAST BAY PRIMARY,,,"51.8922113590113, 0.909428692421391",Colchester District (B)
20,Generation,Solar PV,0,62,Eastern Power Networks (EPN),EPN-S0000004U3525,4U3525,Connected,EPN-S0000000H4045,E19 SAWSTON PRIMARY,,,"52.091891843376, 0.159349626164744",South Cambridgeshire District
19,Generation,Solar PV,0,70,Eastern Power Networks (EPN),EPN-S0000001U3050,1U3050,Connected,EPN-S0000000H1055,D39 MARTLESHAM PRIMARY,,,"52.0582247598678, 1.26875710642023",East Suffolk District
6,Generation,Solar PV,0,25,Eastern Power Networks (EPN),EPN-S0000005U2265,5U2265,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6288702578973, 1.24763422617624",Norwich District (B)
11,Generation,Solar PV,0,49,Eastern Power Networks (EPN),EPN-S0000005U2211,5U2211,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6287139388646, 1.26806753487743",Norwich District (B)
21,Generation,Solar PV,0,72,Eastern Power Networks (EPN),EPN-S0000005U2154,5U2154,Connected,EPN-S0000000H5050,L06 EARLHAM WEST PRIMARY,,,"52.6298951323698, 1.25923897600625",Norwich District (B)
6,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000005U0610,5U0610,Connected,EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,,,"52.5820822994622, 1.72449318722661",Great Yarmouth District (B)
7,Generation,Solar PV,0,20,Eastern Power Networks (EPN),EPN-S0000007U1383,7U1383,Connected,EPN-S0000000H7069,C35 LEIGH PRIMARY,,,"51.5504992720698, 0.672634449043108",Southend-on-Sea (B)
8,Generation,Solar PV,0,31,Eastern Power Networks (EPN),EPN-S0000007U2295,7U2295,Connected,EPN-S0000000H7038,C51 BELLHOUSE LN PRIMARY,,,"51.5753445827204, 0.640101384547978",Southend-on-Sea (B)
13,Generation,Solar PV,0,52,Eastern Power Networks (EPN),EPN-S0000005U1874,5U1874,Connected,EPN-S0000000H5075,L03 CRINGLEFORD PRIMARY,,,"52.6067811387164, 1.25489337286503",Norwich District (B)
8,Generation,Solar PV,0,23,Eastern Power Networks (EPN),EPN-S0000005U0582,5U0582,Connected,EPN-S0000000H5021,H10 MAGDALEN WAY PRIMARY,,,"52.574226031963, 1.70654473482147",Great Yarmouth District (B)
19,Generation,Solar PV,0,70,Eastern Power Networks (EPN),EPN-S0000005U2142,5U2142,Connected,EPN-S0000000H5016,L05 EAST DEREHAM PRIMARY,,,"52.6798221112546, 0.966885334641976",Breckland District
