LocalAuthority,Category,Type,LicenceArea,LCT_Connections,True Export,Predicted Export,Residual
Sutton London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),7,23,26.036242,-3.0362415313720703
Brentwood District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),9,21,29.537083,-8.53708267211914
Castle Point District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,19,21.144041,-2.144041061401367
Folkestone and Hythe District,Generation,Solar PV,South Eastern Power Networks (SPN),12,38,41.959976,-3.9599761962890625
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,26,27.13878,-1.1387805938720703
Adur District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Bedford (B),Generation,Solar PV,Eastern Power Networks (EPN),13,48,44.628124,3.371875762939453
Redbridge London Boro,Generation,Solar PV,London Power Networks (LPN),6,26,22.375008,3.6249923706054688
East Cambridgeshire District,Generation,Solar PV,Eastern Power Networks (EPN),6,25,23.439426,1.5605735778808594
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),10,31,36.558002,-5.558002471923828
Breckland District,Demand,Heat Pump,Eastern Power Networks (EPN),7,0,1.8115635,-1.811563491821289
Adur District,Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Croydon London Boro,Generation,Solar PV,South Eastern Power Networks (SPN),6,23,21.303797,1.6962032318115234
Dartford District (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,22,22.161959,-0.1619586944580078
Uttlesford District,Generation,Solar PV,Eastern Power Networks (EPN),34,122,93.720345,28.27965545654297
Mid Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),20,55,68.05181,-13.051811218261719
Chelmsford District (B),Generation,Solar PV,Eastern Power Networks (EPN),14,43,49.97817,-6.978168487548828
Ashford District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),6,0,-0.08173144,0.08173143863677979
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),10,48,39.68887,8.31113052368164
Epsom and Ewell District (B),Generation + Demand,Battery Storage,South Eastern Power Networks (SPN),7,60,35.589264,24.410736083984375
Great Yarmouth District (B),Generation,Solar PV,Eastern Power Networks (EPN),13,47,45.44379,1.5562095642089844
Kingston upon Thames London Boro,Generation,Solar PV,London Power Networks (LPN),6,66,22.375008,43.62499237060547
Three Rivers District,Generation,Solar PV,Eastern Power Networks (EPN),11,36,39.113667,-3.113666534423828
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,28,32.977615,-4.9776153564453125
Thanet District,Generation,Solar PV,South Eastern Power Networks (SPN),14,46,55.717384,-9.717384338378906
Swale District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,25.191427,-1.191427230834961
The City of Brighton and Hove (B),Generation,Solar PV,South Eastern Power Networks (SPN),6,20,22.795174,-2.7951736450195312
King's Lynn and West Norfolk District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,29,32.553364,-3.553363800048828
Central Bedfordshire,Generation,Solar PV,Eastern Power Networks (EPN),7,17,27.08836,-10.088359832763672
East Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),6,15,9.877504,5.122495651245117
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),8,36,29.068392,6.931608200073242
Wealden District,Generation,Solar PV,South Eastern Power Networks (SPN),8,24,28.925598,-4.92559814453125
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,22,31.39803,-9.398029327392578
Harlow District,Generation,Solar PV,Eastern Power Networks (EPN),9,24,30.350208,-6.350208282470703
King's Lynn and West Norfolk District (B),Demand,Heat Pump,Eastern Power Networks (EPN),18,0,1.4946252,-1.494625210762024
Huntingdonshire District,Generation,Solar PV,Eastern Power Networks (EPN),7,23,27.693903,-4.693902969360352
Buckinghamshire,Generation,Solar PV,Eastern Power Networks (EPN),6,23,22.886513,0.11348724365234375
Colchester District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,16,23.607721,-7.607721328735352
Brent London Boro,Generation,Solar PV,London Power Networks (LPN),8,22,28.861612,-6.861612319946289
Waltham Forest London Boro,Generation,Solar PV,Eastern Power Networks (EPN),16,42,39.992188,2.0078125
Tendring District,Generation,Solar PV,Eastern Power Networks (EPN),10,44,36.558002,7.441997528076172
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),16,0,0.84647274,-0.8464727401733398
Bexley London Boro,Generation,Solar PV,London Power Networks (LPN),7,20,25.616076,-5.61607551574707
Bedford (B),Demand,EV Charging Point,Eastern Power Networks (EPN),6,0,0.00960803,-0.009608030319213867
Barnet London Boro,Generation,Solar PV,Eastern Power Networks (EPN),7,25,24.699095,0.3009052276611328
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),10,53,37.27729,15.722709655761719
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,26,29.56631,-3.5663108825683594
Worthing District (B),Generation,Solar PV,South Eastern Power Networks (SPN),12,63,41.699818,21.300182342529297
North Norfolk District,Demand,Heat Pump,Eastern Power Networks (EPN),9,0,0.66308576,-0.6630857586860657
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),10,32,35.682945,-3.6829452514648438
Maldon District (B),Demand,Heat Pump,Eastern Power Networks (EPN),11,0,0.32600498,-0.3260049819946289
Elmbridge District (B),Demand,EV Charging Point,South Eastern Power Networks (SPN),14,0,0.36796445,-0.3679644465446472
Norwich District (B),Generation,Solar PV,Eastern Power Networks (EPN),6,15,22.026218,-7.026218414306641
Sevenoaks District,Generation,Solar PV,South Eastern Power Networks (SPN),6,18,23.694813,-5.694812774658203
Reigate and Banstead District (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,21,26.036242,-5.03624153137207
Harrow London Boro,Demand,EV Charging Point,Eastern Power Networks (EPN),7,0,0.15344928,-0.15344928205013275
Merton London Boro,Generation,Solar PV,London Power Networks (LPN),6,41,22.572296,18.427703857421875
Luton (B),Generation,Solar PV,Eastern Power Networks (EPN),6,24,20.980406,3.019594192504883
Medway (B),Generation,Solar PV,South Eastern Power Networks (SPN),7,24,26.036242,-2.0362415313720703
East Suffolk District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),10,8,15.653718,-7.653717994689941
Cambridge District (B),Generation,Solar PV,Eastern Power Networks (EPN),9,26,32.258327,-6.258327484130859
Basildon District (B),Generation,Solar PV,Eastern Power Networks (EPN),10,32,36.252174,-4.252174377441406
St. Albans District (B),Demand,EV Charging Point,Eastern Power Networks (EPN),8,0,0.01783961,-0.01783961057662964
East Suffolk District,Generation,Solar PV,Eastern Power Networks (EPN),9,34,32.977615,1.0223846435546875
Lewes District,Generation,Solar PV,South Eastern Power Networks (SPN),8,31,29.56631,1.4336891174316406
South Cambridgeshire District,Generation + Demand,Battery Storage,Eastern Power Networks (EPN),7,5,8.334683,-3.334683418273926
